2017-07-04 11:42:07.271 17599 LOG Starting pgqd 3.2.6
2017-07-04 11:42:07.272 17601 LOG auto-detecting dbs ...
2017-07-04 11:42:07.293 17601 LOG postgres: pgq version ok: 3.2.6
2017-07-04 11:42:07.294 17601 LOG londiste: pgq version ok: 3.2.6
2017-07-04 12:41:07.370 17601 LOG {ticks: 117, maint: 0, retry: 0}
2017-07-04 12:41:37.371 17601 LOG {ticks: 120, maint: 0, retry: 0}
2017-07-04 12:42:07.372 17601 LOG {ticks: 120, maint: 0, retry: 0}
2017-07-04 12:42:08.497 17601 LOG londiste: pgq version ok: 3.2.6
2017-07-04 12:42:08.530 17601 LOG postgres: pgq version ok: 3.2.6
2017-07-04 12:42:37.373 17601 LOG {ticks: 120, maint: 4, retry: 0}
2017-07-04 12:43:07.374 17601 LOG {ticks: 120, maint: 0, retry: 0}
2017-07-04 12:43:37.375 17601 LOG {ticks: 120, maint: 0, retry: 0}
2017-07-04 12:44:07.375 17601 LOG {ticks: 120, maint: 0, retry: 0}
2017-07-04 12:44:08.309 17601 LOG l3simple_db1: pgq version ok: 3.2.6
2017-07-04 12:44:37.376 17601 LOG {ticks: 119, maint: 4, retry: 0}
2017-07-04 12:45:07.377 17601 LOG {ticks: 120, maint: 0, retry: 0}
2017-07-04 12:45:37.377 17601 LOG {ticks: 120, maint: 0, retry: 0}
2017-07-04 12:46:07.378 17601 LOG {ticks: 120, maint: 0, retry: 0}
2017-07-04 12:46:08.862 17601 LOG l3simple_db2: pgq version ok: 3.2.6
2017-07-04 12:46:37.379 17601 LOG {ticks: 120, maint: 4, retry: 0}
2017-07-04 12:47:07.381 17601 LOG {ticks: 120, maint: 0, retry: 0}
2017-07-04 12:47:37.381 17601 LOG {ticks: 120, maint: 0, retry: 0}
2017-07-04 12:48:07.382 17601 LOG {ticks: 120, maint: 0, retry: 0}
2017-07-04 12:48:37.383 17601 LOG {ticks: 120, maint: 4, retry: 0}
2017-07-04 12:49:07.383 17601 LOG {ticks: 120, maint: 0, retry: 0}
2017-07-04 12:49:37.383 17601 LOG {ticks: 120, maint: 0, retry: 0}
2017-07-04 12:50:07.384 17601 LOG {ticks: 119, maint: 0, retry: 0}
2017-07-04 12:50:37.385 17601 LOG {ticks: 120, maint: 4, retry: 0}
2017-07-04 12:51:07.386 17601 LOG {ticks: 120, maint: 0, retry: 0}
2017-07-04 12:51:37.386 17601 LOG {ticks: 119, maint: 0, retry: 0}
